<MarkerSet>

<Name>
All
</Name>

<Markers>
Skeleton:Hip1
Skeleton:Hip2
Skeleton:Hip3
Skeleton:Hip4
Skeleton:Chest1
Skeleton:Chest3
Skeleton:Chest2
Skeleton:Head3
Skeleton:Head2
Skeleton:Head1
Skeleton:LUArm1
Skeleton:LUArm2
Skeleton:LUArm3
Skeleton:LHand1
Skeleton:LHand3
Skeleton:LHand2
Skeleton:RUArm1
Skeleton:RUArm2
Skeleton:RUArm3
Skeleton:RHand1
Skeleton:RHand3
Skeleton:RHand2
Skeleton:LThigh2
Skeleton:LThigh1
Skeleton:LShin2
Skeleton:LShin1
Skeleton:LFoot2
Skeleton:LFoot1
Skeleton:RThigh2
Skeleton:RThigh1
Skeleton:RShin2
Skeleton:RShin1
Skeleton:RFoot1
Skeleton:RFoot2
</Markers>

<Data>
Frame#	M0X	M0Y	M0Z	M1X	M1Y	M1Z	M2X	M2Y	M2Z	M3X	M3Y	M3Z	M4X	M4Y	M4Z	M5X	M5Y	M5Z	M6X	M6Y	M6Z	M7X	M7Y	M7Z	M8X	M8Y	M8Z	M9X	M9Y	M9Z	M10X	M10Y	M10Z	M11X	M11Y	M11Z	M12X	M12Y	M12Z	M13X	M13Y	M13Z	M14X	M14Y	M14Z	M15X	M15Y	M15Z	M16X	M16Y	M16Z	M17X	M17Y	M17Z	M18X	M18Y	M18Z	M19X	M19Y	M19Z	M20X	M20Y	M20Z	M21X	M21Y	M21Z	M22X	M22Y	M22Z	M23X	M23Y	M23Z	M24X	M24Y	M24Z	M25X	M25Y	M25Z	M26X	M26Y	M26Z	M27X	M27Y	M27Z	M28X	M28Y	M28Z	M29X	M29Y	M29Z	M30X	M30Y	M30Z	M31X	M31Y	M31Z	M32X	M32Y	M32Z	M33X	M33Y	M33Z	
579	-637.18262	976.94598	5.23003	-334.90659	981.61548	202.89293	-386.56409	943.45361	-30.31376	-468.46390	971.31708	260.26224	-556.20605	1454.17200	126.19774	-486.11523	1342.80359	239.49161	-630.99536	1340.85620	80.29171	-222.22502	1629.73730	-6.90917	-351.85751	1654.75830	113.29492	-455.51685	1665.85938	-66.76057	-440.10519	1184.37793	-185.63165	-558.87396	1245.23291	-115.77155	-542.26508	1371.20349	-147.96561	-243.96548	1469.80310	-198.92278	-271.47998	1397.76489	-201.58652	-356.59424	1449.52771	-144.96149	-156.42308	1248.10034	267.43954	-266.51056	1327.96484	272.76239	-238.61282	1406.40442	191.78271	-74.50070	1442.85962	17.15701	-184.94473	1439.67358	88.47979	-82.22534	1396.89795	61.28538	-699.42932	483.85263	-44.47247	-587.30688	632.96796	-92.60706	-845.95807	125.98550	94.52185	-738.97845	241.69489	12.70796	-747.67914	55.61830	-2.54370	-853.80615	32.71495	15.27906	-142.72151	536.19940	134.38503	-180.18373	639.40564	45.60472	-137.99243	121.20134	243.23372	-126.25710	327.55865	104.76282	-34.60057	45.65670	117.96468	-28.02450	34.22392	216.08194
580	-639.50165	975.04480	3.18840	-338.33667	982.09723	203.22305	-387.86716	943.34235	-30.25919	-472.99698	969.77454	259.07687	-563.69427	1452.59009	124.12350	-494.26553	1341.97583	236.51242	-637.70679	1337.90442	80.48835	-231.34081	1627.84766	-9.45602	-361.36707	1654.41614	108.33318	-463.51031	1665.95618	-72.25543	-453.74472	1182.97791	-191.30652	-571.53412	1241.85400	-116.11801	-556.39545	1367.72937	-149.08589	-255.29843	1467.26636	-200.78421	-281.03680	1395.17981	-202.25946	-372.75040	1448.69324	-155.04718	-172.70753	1252.39758	289.12894	-282.70148	1331.59412	282.32065	-246.76608	1407.45215	199.66165	-71.23409	1432.89648	34.13528	-187.20869	1435.16565	97.74397	-82.60286	1390.67419	81.37687	-701.44897	482.55148	-41.47680	-587.57574	630.87799	-90.92876	-846.14941	124.84586	94.82674	-740.75037	239.06346	14.21015	-747.65234	55.21692	-1.92662	-854.35645	32.19987	15.56565	-134.23210	545.44354	126.07861	-173.78662	649.73303	38.76521	-133.69777	130.64319	237.87392	-118.64459	336.27692	97.84087	-33.05994	47.65234	114.70666	-27.49000	37.75251	212.25916
581	-640.24762	973.96918	2.37624	-339.24884	982.47528	202.72304	-388.45367	943.47919	-30.49758	-473.86230	968.93359	258.03342	-566.58240	1451.81653	123.00251	-497.22287	1341.30933	234.69916	-640.91785	1336.34412	80.77145	-235.13406	1626.91455	-10.48436	-366.28409	1653.76697	106.42896	-467.30164	1666.00903	-75.05912	-460.16757	1183.22534	-195.24687	-577.27112	1240.92505	-116.58875	-563.55182	1367.05249	-149.31654	-259.00659	1469.21558	-200.65953	-286.63339	1395.43420	-202.62029	-381.30582	1448.63855	-161.23824	-180.60762	1255.27209	301.21240	-290.38812	1333.67224	287.80896	-250.64049	1406.83765	206.14977	-70.59535	1428.21252	45.65504	-188.39232	1434.21936	106.36413	-83.57848	1388.67212	92.56941	-701.74152	482.06113	-39.96146	-587.29700	630.00934	-89.35365	-846.22430	124.34792	94.97179	-740.67773	238.53580	15.30197	-747.76160	55.10289	-1.72262	-854.37433	32.17641	15.55810	-129.51790	549.76343	122.71069	-170.61987	654.54376	35.20916	-131.52168	134.96663	235.05569	-114.89749	340.43265	94.65311	-31.37549	48.89864	113.21761	-27.18346	40.01963	210.61884
582	-641.31134	973.36749	2.41835	-339.53589	983.04077	202.07231	-388.98303	943.46240	-31.19015	-473.98468	968.59045	257.08118	-568.67957	1450.96606	122.81601	-499.61560	1340.42310	233.10603	-643.01459	1334.88550	81.85807	-236.27211	1626.02295	-11.69952	-370.20908	1653.38574	103.92641	-470.49792	1666.15393	-77.67382	-466.33380	1184.42932	-199.69652	-582.73798	1240.25000	-117.43772	-570.26941	1366.83533	-149.59793	-266.82983	1471.82581	-202.83952	-292.88855	1397.58044	-204.31706	-389.97745	1450.18115	-167.45485	-188.43327	1258.47852	313.44556	-298.01404	1335.81567	293.13068	-254.13176	1406.78430	211.32434	-73.14931	1426.05615	55.88430	-190.94562	1434.38647	115.95340	-86.23606	1387.81531	104.17243	-701.92816	481.22177	-38.71344	-586.65997	629.77795	-88.55286	-845.84125	124.15683	95.40943	-741.04865	237.78296	16.08320	-747.42401	55.01863	-1.59471	-852.84912	34.28389	16.70208	-125.61768	553.64160	119.46477	-167.68983	658.62451	31.69463	-129.03192	138.87697	232.69377	-111.15319	343.91855	91.62939	-30.14598	50.77503	111.55679	-25.96035	42.42478	208.64243
583	-641.31134	973.36749	2.41835	-339.53589	983.04077	202.07231	-388.98303	943.46240	-31.19015	-473.98468	968.59045	257.08118	-568.67957	1450.96606	122.81601	-499.61560	1340.42310	233.10603	-643.01459	1334.88550	81.85807	-236.27211	1626.02319	-11.69952	-370.20911	1653.38574	103.92641	-470.49792	1666.15393	-77.67382	-466.33380	1184.42932	-199.69652	-582.73798	1240.25000	-117.43772	-570.26941	1366.83533	-149.59793	-266.82983	1471.82581	-202.83952	-292.88855	1397.58044	-204.31706	-389.97745	1450.18115	-167.45485	-188.43327	1258.47852	313.44556	-298.01404	1335.81567	293.13068	-254.13176	1406.78430	211.32434	-73.14931	1426.05615	55.88430	-190.94562	1434.38647	115.95340	-86.23606	1387.81531	104.17243	-701.92816	481.22177	-38.71344	-586.65997	629.77795	-88.55286	-845.84125	124.15683	95.40943	-741.04865	237.78296	16.08320	-747.42407	55.01863	-1.59471	-848.99597	37.44056	16.03265	-125.61768	553.64160	119.46477	-167.68983	658.62451	31.69463	-129.03192	138.87697	232.69377	-111.15319	343.91855	91.62939	-30.14598	50.77503	111.55679	-25.96035	42.42478	208.64243
584	-641.95215	972.10864	2.51771	-338.06943	984.44965	199.65338	-389.92157	943.96222	-32.99178	-471.66730	968.71991	255.69272	-571.49774	1450.11206	122.76609	-502.33521	1339.15308	230.96924	-645.39716	1332.30383	83.96858	-241.77571	1624.08118	-14.96320	-377.33340	1652.85999	100.36519	-475.04855	1666.23438	-82.78385	-477.15140	1189.41113	-209.81129	-591.11005	1241.10974	-119.89394	-583.08032	1368.15466	-148.34230	-285.69662	1482.46313	-212.02800	-308.24307	1407.15076	-212.23151	-407.07025	1455.17456	-175.30899	-204.56673	1267.49597	337.35358	-312.19528	1340.75146	301.32983	-261.83725	1409.40442	219.39362	-80.23212	1428.28113	79.49586	-198.53809	1437.65576	137.06721	-93.55823	1391.72290	129.71010	-702.04218	480.69534	-35.75658	-586.41803	628.72205	-86.15263	-845.81177	123.74734	95.80208	-739.70148	237.38901	18.66725	-747.45154	54.69378	-1.34552	-849.36353	37.10506	16.28420	-117.99581	560.19501	113.70866	-161.68227	665.46429	26.22689	-123.75533	145.67160	228.40555	-104.54890	349.88727	86.49864	-25.46549	56.01704	107.71644	-22.68993	47.97564	204.07236
585	-641.93573	971.98822	3.89563	-336.92648	985.19751	197.94835	-391.08170	944.51147	-34.80645	-469.77142	969.14600	255.38329	-571.53510	1450.91321	125.47471	-502.34784	1338.85034	230.45944	-646.12335	1331.22229	85.09165	-245.14143	1623.34338	-15.89960	-379.55496	1652.97705	98.57210	-477.30704	1666.01624	-84.48992	-481.52982	1193.29639	-215.11581	-594.21063	1242.36584	-121.54181	-587.72272	1369.64697	-148.16504	-295.93726	1489.85547	-217.35619	-316.74173	1414.07092	-218.33138	-415.65332	1459.77734	-177.97884	-212.75002	1273.00842	348.35394	-318.65466	1344.12451	305.17700	-264.61679	1410.97363	223.37337	-82.86037	1432.74658	91.39323	-201.70972	1440.79663	147.97014	-96.72841	1396.54883	141.78799	-701.89429	480.78119	-34.43248	-586.91620	628.12134	-84.88638	-845.72272	123.53420	95.88861	-739.89978	237.09532	19.44534	-747.32581	54.63669	-1.20543	-849.78613	36.37404	16.09392	-114.85046	562.54358	111.47936	-159.26286	667.93646	24.12509	-120.85333	148.29254	226.41580	-101.74932	352.45673	84.24119	-22.55936	58.74306	105.51486	-20.04230	50.86144	201.39964
586	-642.81909	972.35565	7.79416	-335.07736	986.28363	195.65410	-392.01202	944.86078	-36.45126	-467.42145	969.43420	254.98503	-571.70612	1450.85205	126.21644	-499.90237	1337.61255	228.67558	-645.74982	1330.47278	86.41029	-245.83142	1623.08923	-18.13243	-381.92157	1653.31189	97.60258	-478.57251	1666.04358	-86.56472	-485.23389	1198.45325	-220.96794	-596.63287	1244.86401	-124.38456	-593.30920	1371.93176	-147.50328	-310.19064	1498.79529	-223.35490	-325.77866	1422.08691	-224.18275	-423.45663	1464.76782	-180.32642	-220.34764	1279.06238	358.14954	-324.64908	1347.69336	308.40756	-267.58258	1413.30054	226.39423	-86.56085	1438.43652	103.24346	-206.26491	1444.45801	155.84328	-100.80291	1402.58765	153.76109	-701.71399	480.95874	-32.80763	-586.60461	628.25043	-84.05769	-845.58746	123.45570	96.09394	-740.08246	237.43311	20.45263	-747.32581	54.63669	-1.20543	-849.81744	36.38115	16.16848	-111.89623	564.75238	109.14971	-157.46930	669.74152	22.28124	-117.64729	150.38640	224.42491	-98.74699	354.39111	82.20198	-19.56324	61.89515	102.82957	-16.10826	54.03841	198.51202
587	-642.99780	972.39856	9.14584	-332.80658	987.11877	193.22375	-392.66580	945.10162	-37.79723	-464.00021	970.05511	254.65015	-571.64728	1450.76233	127.28246	-499.92880	1337.78357	227.36357	-645.00110	1329.79565	88.07797	-247.03836	1622.53796	-19.32865	-382.48672	1654.08752	96.19530	-479.06677	1666.11755	-87.81439	-488.45377	1203.75696	-226.54410	-598.44092	1247.26501	-126.71852	-597.50214	1374.78113	-148.61086	-318.29572	1508.34314	-227.73396	-334.59854	1430.73608	-229.89801	-431.37750	1469.71228	-181.32776	-227.30096	1285.53772	366.70645	-330.45520	1350.97925	309.62500	-270.25342	1416.60876	230.09952	-89.34368	1444.97888	113.03716	-209.66933	1449.39587	163.08623	-104.04075	1409.31750	163.92567	-702.06335	481.33948	-31.03415	-586.73529	628.33795	-83.17236	-845.55334	123.49945	96.10240	-739.53357	237.91266	21.33121	-747.18939	54.64627	-1.15112	-849.48572	36.76399	16.46157	-109.20181	566.35309	106.85561	-155.44722	671.31445	20.12782	-113.96658	151.72734	222.63390	-96.43940	355.92282	80.36158	-15.78975	65.17699	100.11397	-11.91146	56.74897	195.62613
588	-642.80829	972.61932	10.57655	-330.56509	988.08099	191.39420	-393.42407	945.90076	-39.93282	-460.79269	970.64240	254.30766	-571.33008	1450.48962	128.28271	-498.17899	1338.84790	228.50145	-644.48779	1329.40002	89.42691	-245.88855	1622.69580	-21.28992	-382.29370	1655.11096	94.97292	-479.43668	1666.11804	-88.77247	-491.25455	1209.65381	-232.05296	-594.65808	1246.22729	-130.09923	-599.94421	1377.62878	-147.80728	-327.72882	1517.19165	-231.02513	-342.72952	1439.52368	-234.64435	-437.74252	1475.29248	-181.37660	-232.91435	1292.06934	373.80075	-335.80182	1355.09302	311.57642	-272.59811	1420.52612	233.00798	-92.48677	1452.24963	122.72986	-213.16615	1455.48279	169.71906	-107.08650	1416.46167	172.82928	-702.57379	482.05820	-29.69105	-587.23938	628.45520	-82.00409	-845.50226	123.52770	96.09255	-739.85052	238.44859	22.02914	-747.27667	54.54161	-1.15785	-849.37811	36.88809	16.62493	-106.77467	567.67651	105.22000	-154.01588	672.33521	18.12724	-109.77841	152.70229	220.42827	-93.75947	357.63660	78.36467	-11.28809	68.60326	96.79964	-6.38784	59.91602	192.26872
