<MarkerSet>

<Name>
All
</Name>

<Markers>
Skeleton:Hip1
Skeleton:Hip2
Skeleton:Hip3
Skeleton:Hip4
Skeleton:Chest1
Skeleton:Chest3
Skeleton:Chest2
Skeleton:Head3
Skeleton:Head2
Skeleton:Head1
Skeleton:LUArm1
Skeleton:LUArm2
Skeleton:LUArm3
Skeleton:LHand1
Skeleton:LHand3
Skeleton:LHand2
Skeleton:RUArm1
Skeleton:RUArm2
Skeleton:RUArm3
Skeleton:RHand1
Skeleton:RHand3
Skeleton:RHand2
Skeleton:LThigh2
Skeleton:LThigh1
Skeleton:LShin2
Skeleton:LShin1
Skeleton:LFoot2
Skeleton:LFoot1
Skeleton:RThigh2
Skeleton:RThigh1
Skeleton:RShin2
Skeleton:RShin1
Skeleton:RFoot1
Skeleton:RFoot2
</Markers>

<Data>
Frame#	M0X	M0Y	M0Z	M1X	M1Y	M1Z	M2X	M2Y	M2Z	M3X	M3Y	M3Z	M4X	M4Y	M4Z	M5X	M5Y	M5Z	M6X	M6Y	M6Z	M7X	M7Y	M7Z	M8X	M8Y	M8Z	M9X	M9Y	M9Z	M10X	M10Y	M10Z	M11X	M11Y	M11Z	M12X	M12Y	M12Z	M13X	M13Y	M13Z	M14X	M14Y	M14Z	M15X	M15Y	M15Z	M16X	M16Y	M16Z	M17X	M17Y	M17Z	M18X	M18Y	M18Z	M19X	M19Y	M19Z	M20X	M20Y	M20Z	M21X	M21Y	M21Z	M22X	M22Y	M22Z	M23X	M23Y	M23Z	M24X	M24Y	M24Z	M25X	M25Y	M25Z	M26X	M26Y	M26Z	M27X	M27Y	M27Z	M28X	M28Y	M28Z	M29X	M29Y	M29Z	M30X	M30Y	M30Z	M31X	M31Y	M31Z	M32X	M32Y	M32Z	M33X	M33Y	M33Z	
614	-551.62744	959.18805	36.61451	-217.63043	959.91296	172.09892	-312.02896	925.77332	-47.94196	-339.35461	945.64716	255.97000	-464.39566	1421.49561	172.46205	-376.15860	1308.29565	257.32855	-542.93170	1300.86096	138.10771	-157.78275	1590.99133	-26.03147	-265.64661	1641.41516	114.13211	-389.64792	1649.42200	-53.90391	-431.67630	1225.04004	-226.33585	-521.99268	1245.14880	-105.52327	-525.17401	1372.73499	-102.03143	-276.70233	1535.17993	-200.87303	-295.83694	1459.42078	-213.47878	-375.27002	1483.00317	-139.54027	-60.44466	1255.93457	325.55966	-177.42642	1323.74243	303.46613	-143.52203	1394.31677	215.06244	95.12874	1389.35083	69.60177	-30.04166	1407.82520	112.13048	68.10699	1355.24634	119.69707	-659.82050	485.78726	-24.01858	-532.95190	622.39648	-78.10899	-834.18475	119.72249	102.65308	-716.45453	244.26173	19.03679	-745.07867	53.58881	-5.58276	-844.24670	40.28499	13.85707	-54.46634	502.95383	92.97429	-107.13313	601.95416	4.44781	12.34681	87.27745	176.79553	-33.33166	295.25128	53.68916	70.00529	50.94065	15.43994	117.68188	31.72998	98.13269
615	-545.73566	956.95813	40.62073	-210.03903	957.54926	172.21451	-306.49707	922.91388	-47.16269	-330.98505	944.42462	257.12012	-454.48834	1420.36951	175.48892	-362.71844	1307.56580	259.25760	-534.00598	1299.58325	142.35518	-150.66583	1588.95056	-27.92904	-256.97812	1639.96472	113.45663	-383.21136	1648.37842	-52.45641	-431.57132	1217.33691	-220.48648	-518.91833	1239.92810	-99.74402	-520.73926	1368.39001	-96.91631	-272.69934	1525.54346	-202.89078	-292.60370	1449.46790	-211.82349	-370.31824	1474.85010	-138.48221	-54.11539	1244.56848	319.22021	-168.75014	1316.53735	300.54669	-133.46579	1387.83533	213.64371	101.53169	1374.70667	62.81361	-22.26066	1398.15601	108.08167	73.89651	1341.42688	112.71650	-657.18646	485.90698	-22.90228	-530.29974	622.94739	-77.35795	-833.28235	119.95459	102.64367	-714.51971	244.79187	18.18117	-745.02161	53.57376	-5.98955	-844.09003	40.60555	13.72650	-50.55677	499.58078	94.03068	-98.80492	600.39532	6.26842	12.50967	85.36199	176.13477	-31.07227	291.92926	53.15949	70.05643	49.84472	15.15694	118.35840	31.13890	98.65472
616	-540.72400	955.32367	44.19205	-202.79352	956.05450	171.79610	-301.71130	920.17963	-46.17654	-322.01263	944.17242	259.18906	-444.01550	1420.20203	178.55098	-351.28268	1307.65674	261.33411	-524.38275	1299.25940	147.09286	-143.96361	1587.45044	-30.80224	-246.79791	1639.31799	112.28499	-376.53900	1647.90686	-51.32853	-433.43277	1209.08691	-213.52213	-516.46606	1234.96069	-92.90060	-516.21051	1363.86230	-91.38755	-271.94324	1514.66565	-205.42413	-287.85022	1437.73047	-212.88159	-365.72916	1465.44897	-135.10606	-49.12828	1233.07178	314.36929	-160.51511	1309.30212	297.92923	-123.26703	1380.98376	212.12935	103.56609	1363.09985	57.08034	-17.35068	1389.34875	104.99466	75.43907	1329.86389	106.99473	-654.16516	486.54572	-20.98155	-528.43097	623.18164	-75.01378	-832.47363	120.97728	102.37402	-712.43097	245.05370	18.27885	-744.81128	53.26543	-6.63111	-843.30609	41.25936	13.59167	-47.49751	497.34598	93.96889	-91.49834	598.97437	7.66941	12.82392	83.90665	175.63618	-28.56072	289.84055	52.07895	69.63266	49.53958	13.73478	118.83257	31.03487	98.88647
617	-535.07404	954.72083	48.54095	-195.49083	955.50629	171.48842	-296.43256	917.87585	-44.54375	-313.54172	944.96112	260.34082	-432.57629	1420.82922	181.33878	-340.16803	1308.28674	263.90982	-514.19794	1300.19116	151.36357	-137.47990	1586.62732	-34.65896	-236.73703	1639.43994	110.50019	-369.20419	1648.15271	-50.91429	-436.97067	1200.26025	-204.87096	-512.44275	1231.97473	-78.33949	-512.00354	1360.21362	-85.57558	-273.39633	1503.85083	-208.14024	-289.47736	1426.97827	-213.89067	-363.71619	1456.33582	-132.31122	-45.08084	1221.91626	310.38184	-152.07980	1303.28149	297.30466	-113.19603	1373.69763	209.95351	102.56882	1355.04919	49.81609	-21.00679	1380.36230	100.88460	77.12401	1319.94409	98.99633	-650.69611	488.20874	-18.28372	-526.01001	624.46344	-72.43262	-830.47400	121.59580	101.80876	-708.74426	249.87010	16.91034	-744.76672	52.91996	-7.08359	-842.26172	42.38275	13.12774	-43.78673	497.01816	92.25331	-84.61626	598.74652	8.25539	13.15512	83.66982	175.12238	-26.15954	288.84573	50.45945	69.65398	48.69834	13.55453	119.17446	30.86982	98.68578
618	-529.09802	954.99823	53.88327	-187.97798	955.65662	171.06252	-291.29898	916.38831	-42.90308	-305.17221	946.72449	261.96771	-420.43033	1422.55579	183.71651	-328.81876	1309.66748	265.58734	-503.27875	1301.93164	157.09267	-129.72604	1586.64575	-38.93241	-226.06795	1640.42346	108.22498	-362.25165	1648.65649	-50.27171	-441.90924	1191.45337	-195.94760	-512.14905	1228.96375	-66.84441	-512.23816	1359.70288	-76.24451	-275.48431	1493.72302	-210.17162	-292.77423	1416.75427	-214.75627	-363.07950	1447.22339	-130.36823	-42.18118	1211.49878	307.29611	-144.62579	1297.50012	295.66699	-103.26685	1366.42371	207.84827	98.70184	1350.76074	45.10745	-24.29281	1373.10522	99.85816	74.56750	1314.02856	93.95692	-647.75244	489.70303	-13.97578	-523.46631	626.16248	-68.78114	-829.62744	123.05885	101.84829	-705.82635	251.74028	17.62541	-743.86237	52.84692	-7.71133	-846.99738	38.95970	14.59821	-39.27945	497.74011	89.47736	-79.79681	599.15271	6.75271	13.30336	83.73829	174.36920	-24.49582	289.00711	48.22992	70.08688	48.31379	12.75250	119.41620	31.10667	97.98978
619	-523.72693	956.75116	59.45282	-180.92389	956.58917	170.56906	-286.92612	915.82050	-41.01632	-296.02750	949.41687	264.05386	-407.67014	1424.94739	185.81889	-317.03101	1311.57715	267.71567	-492.83371	1305.05432	162.24989	-122.78442	1587.48047	-44.26619	-214.68472	1642.17041	105.06432	-354.87268	1649.74500	-49.77526	-448.73425	1183.65369	-185.89796	-511.80560	1226.52380	-54.10336	-509.03391	1358.03601	-72.20862	-278.40524	1483.43372	-211.92775	-297.84122	1407.13965	-215.92619	-364.85422	1439.56165	-128.51314	-39.43843	1203.48669	304.96072	-137.47981	1292.59290	294.24237	-95.33840	1359.04944	205.42430	88.51782	1349.02441	40.98774	-28.29265	1367.10608	100.87749	67.48178	1308.02136	91.02284	-644.18134	492.50897	-9.56598	-520.77191	628.34021	-64.31969	-827.47125	124.11487	101.59153	-704.52832	253.34436	19.98045	-742.67279	52.77328	-8.15707	-845.28510	40.42243	14.61313	-34.26881	499.00150	86.24127	-75.93492	600.71356	4.35671	13.50319	84.17229	173.11549	-23.18012	289.67398	45.97746	70.12210	47.94647	11.90507	119.33247	31.48133	97.36669
620	-517.63733	959.67944	64.92286	-173.57022	958.05328	170.71422	-282.48108	916.37671	-39.31173	-287.07782	952.78760	265.50708	-394.21271	1427.79578	187.86185	-304.21719	1314.53906	269.66608	-481.54807	1308.81897	168.35985	-115.82980	1588.83081	-50.24207	-203.10880	1643.99304	101.75159	-348.06549	1650.92847	-49.02105	-456.97202	1177.41992	-174.72658	-511.72607	1225.50195	-40.85310	-507.45441	1355.87109	-66.96098	-281.62894	1474.15381	-214.25801	-303.70480	1398.16797	-216.44090	-367.59250	1433.80176	-127.23652	-35.24326	1197.63403	303.07904	-130.42076	1289.41602	292.79544	-85.60300	1354.04724	203.35526	81.17413	1347.40979	36.43303	-32.63910	1364.35803	101.77445	64.50881	1305.99072	85.73390	-640.97198	495.27011	-3.46930	-518.43921	630.48535	-58.17431	-825.70074	125.78809	101.72581	-701.35590	256.57611	21.71105	-741.66681	52.50270	-9.17886	-838.36395	46.02803	13.64888	-29.75734	499.77390	83.57059	-72.99348	602.64960	1.97400	13.27715	84.75634	172.28700	-22.55599	290.31064	44.21334	70.10939	47.36462	11.02088	118.99216	31.81416	96.74839
621	-510.92404	963.61975	71.82088	-165.52307	960.26306	169.97762	-278.39694	918.03290	-37.43629	-276.60413	956.04297	267.06921	-378.92856	1430.03735	189.83072	-292.56186	1317.63831	271.34430	-469.68317	1312.57971	173.15996	-109.48257	1590.17285	-57.51622	-191.16449	1645.80981	97.38281	-340.77008	1651.76099	-48.38374	-465.44818	1173.74121	-163.41943	-511.34772	1225.71716	-27.24022	-502.24155	1354.13757	-55.04491	-285.41791	1466.07629	-216.72810	-309.99051	1391.08740	-216.36729	-371.30969	1430.14709	-126.66364	-28.77580	1194.43909	301.06165	-121.88862	1288.51636	291.09827	-73.49504	1351.84497	201.89973	72.93472	1347.42224	29.57639	-34.82778	1364.70959	104.67484	60.64429	1305.48083	76.68841	-637.55969	498.92557	3.09978	-514.92242	633.58252	-52.19050	-819.79224	123.82201	115.66302	-698.12964	259.88995	24.29082	-740.86053	52.70358	-9.54218	-836.64362	48.03527	13.85137	-26.75243	500.23462	82.07594	-70.60349	604.17407	0.18541	13.29036	85.51463	171.19861	-22.06015	290.52759	42.82284	69.84447	47.06423	10.47488	118.98327	32.22694	96.43199
622	-504.68182	967.92474	78.24173	-157.71268	962.46930	169.12885	-274.08011	919.96674	-35.15337	-266.73270	959.46948	268.36349	-365.65839	1433.41089	191.72957	-280.76407	1315.46228	266.47522	-457.79910	1317.01282	178.82341	-103.15161	1592.08398	-64.42449	-179.71687	1647.61816	93.44561	-334.08798	1653.00195	-47.58210	-474.13965	1172.65198	-152.26317	-510.80942	1227.97827	-13.86434	-501.57004	1355.87390	-45.06416	-289.45395	1460.34705	-218.96159	-316.02686	1386.07080	-216.26826	-376.13809	1429.18323	-125.83807	-18.78772	1194.63843	298.96823	-111.81981	1290.14978	289.24112	-64.51788	1350.79614	197.46947	63.98960	1349.25464	21.11371	-33.09362	1369.69409	109.61409	55.51460	1306.81433	68.89289	-634.87689	502.66583	11.08670	-512.24561	636.88940	-45.24525	-816.83740	126.27119	114.96195	-695.14935	263.38980	27.74817	-739.71533	52.69849	-10.01881	-834.03223	50.12183	14.13244	-23.70914	500.20300	80.75999	-68.94874	604.92212	-0.86761	13.07915	85.30591	170.73683	-21.47561	290.69980	42.15374	69.53601	46.61790	10.00439	118.77802	32.68015	96.10709
623	-497.90063	972.46075	85.63808	-149.33806	964.79816	168.41138	-272.19583	923.08472	-33.09319	-254.73192	963.72046	270.86252	-352.71524	1436.79150	193.45303	-267.50229	1318.89709	266.34555	-446.22098	1321.23779	184.47952	-97.45187	1593.42590	-72.08655	-168.26283	1649.02490	88.94966	-327.22507	1654.46851	-47.10855	-482.44638	1174.48914	-142.06783	-509.35315	1231.79089	-1.61762	-500.00720	1359.35889	-35.29721	-294.44284	1457.43103	-221.17464	-322.85031	1383.98645	-216.89079	-374.21375	1430.04626	-125.17461	-5.17041	1198.33423	296.40070	-99.44247	1294.59570	286.72870	-52.98618	1352.85852	193.09711	58.05005	1355.64685	13.92428	-29.44443	1376.46118	110.60718	54.85508	1313.63831	61.93434	-632.66510	506.78546	19.42005	-509.52286	640.61346	-38.39173	-807.27759	122.44469	113.71386	-692.78766	267.14471	31.48999	-738.60632	52.49786	-10.50430	-828.75201	55.59172	12.63334	-21.73254	500.09830	80.30312	-68.31930	604.54059	-1.43028	12.74014	85.12389	170.23701	-21.06053	290.33517	42.20972	69.26414	46.49950	9.39252	118.41873	33.09723	95.52566
624	-491.77805	977.01221	93.39030	-141.63429	966.76129	166.29221	-268.51849	926.02509	-31.35691	-244.06094	967.04565	271.53748	-339.95135	1440.23682	195.98087	-253.41400	1322.66077	266.24747	-434.99677	1325.34387	190.12839	-89.71664	1598.14319	-79.34732	-157.43739	1650.37964	84.35660	-320.43085	1656.31042	-46.71857	-490.03094	1179.08325	-133.36555	-506.98233	1237.16479	9.88402	-497.99210	1364.12817	-25.10704	-300.49506	1458.01709	-224.12520	-329.68646	1385.02808	-217.14478	-375.90677	1433.18982	-123.43703	12.83687	1205.77307	293.09024	-84.37831	1300.56787	283.25385	-41.00235	1357.54492	187.43304	58.97421	1367.26062	8.82091	-25.28030	1384.17017	108.43751	59.41249	1325.25195	56.91418	-629.48047	511.06000	27.74718	-509.49854	643.80383	-31.48795	-809.59381	126.28815	114.05720	-696.57465	267.82260	37.12180	-737.63782	52.61453	-10.77236	-825.91870	58.51950	13.16466	-20.64358	499.54327	80.77444	-68.78144	603.78687	-1.55144	13.05022	85.05919	169.88589	-21.41917	290.04370	42.44612	68.59765	46.16397	9.15716	118.03332	33.40568	94.91585
625	-485.58755	981.27277	101.88725	-134.43640	968.85303	164.63123	-267.47531	929.27643	-28.85142	-233.45995	970.67706	272.15634	-328.15701	1443.81152	198.59779	-238.69904	1326.40015	265.90106	-424.18674	1329.42578	196.07542	-84.79231	1598.55383	-86.22999	-146.74825	1651.50037	79.73248	-313.79214	1658.56250	-46.36428	-496.58810	1185.96289	-126.38158	-504.59909	1243.58374	18.70620	-495.82104	1370.23523	-17.41699	-306.30566	1462.00818	-225.79314	-335.93246	1389.22510	-217.25368	-377.76678	1438.54736	-121.68447	35.17311	1216.96167	288.11011	-67.36167	1307.89380	278.41565	-27.96661	1364.38879	181.33430	66.15893	1383.32764	4.02353	-19.30779	1392.82837	104.80394	69.37386	1340.30432	51.84904	-627.17712	514.76898	36.75798	-508.99838	647.62714	-23.02029	-804.77856	127.77657	115.54552	-692.70331	271.87207	40.53701	-736.07135	52.36559	-11.49167	-823.72852	60.55192	14.42687	-19.67407	499.26035	80.83393	-69.49449	602.81458	-1.27540	13.14681	84.75163	169.78915	-22.69215	289.70358	42.99458	68.24260	45.91770	8.93115	117.34429	33.83730	94.31175
626	-479.93350	985.48773	110.79553	-126.62411	970.81879	162.88858	-266.08047	932.30939	-26.27905	-222.82050	974.35205	273.05060	-316.81012	1447.30591	201.63695	-224.57346	1329.80029	264.92227	-413.31525	1333.25635	202.13632	-80.13947	1598.17188	-91.90601	-136.72693	1651.97595	75.32040	-307.45386	1660.93738	-46.47222	-501.47479	1194.82288	-121.25416	-501.66083	1250.24023	25.14564	-493.04834	1377.10730	-9.47073	-311.87305	1468.72876	-227.61595	-344.14841	1397.00061	-218.51318	-376.00449	1445.17554	-118.18481	59.47852	1231.24097	282.08411	-48.77145	1316.14160	272.61246	-14.79685	1373.28906	174.19553	76.96024	1399.22632	-2.65128	-8.21085	1402.77136	98.58742	83.67508	1356.96594	45.50767	-624.47742	518.64935	45.56166	-507.26105	651.34070	-14.30609	-799.99365	129.84154	116.53718	-689.12555	275.99365	44.46602	-733.86255	52.80375	-12.04281	-820.71582	63.03620	15.58153	-19.35343	499.15848	81.62148	-70.86825	602.06384	-0.36865	13.13712	84.72673	169.63075	-23.77355	289.79297	43.41000	67.71362	45.70833	8.75464	117.07205	34.15201	94.04222
627	-474.69708	989.39801	120.23456	-119.58740	972.90533	161.55858	-264.61835	934.74023	-23.09270	-211.24976	978.18280	275.41360	-306.09311	1450.46216	204.82950	-210.25092	1332.57349	263.88690	-402.94373	1336.69531	207.94379	-76.78605	1597.11365	-97.29418	-128.40901	1651.79382	72.03805	-301.55859	1663.41907	-45.98505	-505.33206	1204.86475	-117.79784	-498.75681	1257.59302	30.09996	-489.79816	1384.49475	-1.88967	-318.34943	1477.85596	-228.08965	-349.97629	1406.39050	-217.88828	-380.03226	1454.74951	-118.28497	85.40726	1247.80579	273.87714	-29.25157	1325.03259	266.08011	-1.84423	1383.60925	166.94255	91.69968	1415.47620	-11.60593	7.69437	1415.14429	90.73270	100.93397	1373.54651	36.21304	-621.23773	522.08075	53.86065	-505.02979	655.22205	-6.35179	-794.11487	131.08751	118.11967	-685.27222	279.90414	49.01643	-732.14948	53.29503	-12.31067	-816.69073	66.59981	16.78129	-18.48055	497.71094	80.20208	-72.76614	601.32776	0.43063	13.15458	84.74394	169.47766	-25.41447	289.79984	44.40379	67.56937	45.48569	8.71369	116.64928	34.49120	93.59417
628	-469.51352	993.00336	129.78650	-113.52651	974.79816	159.72221	-264.06229	937.35455	-19.67508	-199.96617	981.84613	276.72031	-295.51709	1453.28625	208.45609	-196.85167	1335.38550	262.61850	-393.48343	1340.30359	213.60190	-73.45390	1594.97278	-101.10171	-120.10338	1651.79700	68.10013	-295.46222	1665.52100	-46.33163	-508.34518	1215.86914	-115.02114	-495.89523	1264.98608	33.41755	-485.49075	1391.91882	4.53054	-324.27377	1489.19861	-227.78456	-354.59836	1417.16724	-215.95685	-380.12183	1464.44836	-114.76981	112.18661	1266.55066	263.97122	-8.72719	1334.45007	259.53110	10.95190	1394.94897	159.32928	110.32414	1432.94397	-22.64963	27.41362	1428.73987	81.81675	121.62828	1391.65869	25.43325	-617.86652	525.68335	61.96822	-503.02136	659.12415	1.57651	-788.45428	132.83620	120.83604	-680.79620	283.89523	52.47402	-730.98883	53.74310	-12.68739	-814.13745	68.81410	19.57949	-18.29877	497.45569	81.35533	-74.53983	601.54663	1.59093	13.42047	84.78103	169.28609	-26.75625	290.04071	45.48788	66.97316	45.35456	8.54802	116.31844	34.95824	93.16173
629	-464.78149	996.01648	140.31071	-108.57286	976.53583	158.44949	-264.42911	939.54785	-15.57031	-191.13470	984.80853	277.85858	-285.57819	1455.86560	211.56088	-184.02165	1337.70789	261.36087	-383.43002	1343.48547	219.30885	-71.28065	1592.70081	-104.82269	-112.88715	1651.63647	65.38815	-289.97852	1667.73608	-45.74944	-510.44070	1227.83899	-111.62679	-493.15222	1272.50549	35.96004	-480.87476	1399.50427	11.85296	-329.06229	1501.52148	-226.22986	-361.22565	1430.33728	-215.55194	-378.99756	1474.82568	-110.84455	137.86275	1286.52466	251.81023	12.79642	1344.48816	251.61877	22.26031	1407.11365	151.81403	132.30269	1453.10535	-34.96549	47.52787	1442.98608	66.04841	145.07602	1412.08032	13.33190	-615.31354	528.21704	70.17557	-501.28717	663.15210	9.38952	-781.13556	133.88109	124.73325	-676.69751	287.12943	56.51047	-732.12909	52.96975	-11.86487	-811.10364	70.61229	23.69815	-16.94812	499.41684	78.64632	-76.51704	601.70605	3.37095	14.02696	84.71415	169.41891	-28.02863	290.21021	46.60710	66.57163	45.05653	8.54425	116.17669	35.21405	92.71755
630	-460.22144	998.70428	150.60298	-104.26369	978.00940	157.98633	-265.15430	941.65802	-11.45021	-183.15678	987.46002	279.18948	-275.90918	1458.24329	214.72673	-172.13629	1339.61230	260.51376	-374.39606	1346.37317	224.45212	-68.81580	1591.06873	-107.91203	-105.46316	1651.92188	62.46722	-285.28238	1669.33679	-44.34743	-511.59988	1239.41736	-109.55302	-490.38361	1280.17346	37.93352	-476.23871	1407.04846	16.22734	-333.01486	1515.15759	-223.35191	-365.97278	1443.39441	-212.81856	-378.04987	1485.42249	-106.16163	163.35472	1307.88196	237.30594	33.61841	1355.28687	242.69070	32.03297	1420.04993	142.01379	161.28746	1476.32593	-48.15691	66.12318	1456.67322	44.44504	170.50253	1434.88440	-0.03038	-612.30658	529.87714	79.80283	-499.88300	667.26166	17.09747	-770.77557	135.33788	130.01691	-672.20233	290.06418	60.76517	-727.21875	56.55839	-12.05534	-805.99524	73.09993	28.40086	-16.16783	499.67471	79.80499	-78.17946	602.13678	5.11666	14.09231	84.63696	169.46487	-28.77493	290.67462	47.97757	66.25917	45.01341	8.32456	116.00396	35.33298	92.33674
631	-455.86349	1001.26776	160.60274	-100.32745	979.32507	157.87016	-266.02835	943.35870	-6.96676	-175.68491	989.42950	280.82635	-266.72742	1458.93713	216.56029	-160.58014	1341.17310	259.44888	-365.84805	1349.29211	229.62593	-69.63128	1589.62097	-112.72984	-98.54879	1651.59595	60.02171	-280.62292	1670.25903	-42.70646	-512.50775	1251.19580	-106.37882	-487.40051	1287.57800	39.63601	-471.09665	1414.53015	21.05997	-336.18576	1528.47546	-219.67676	-368.98035	1456.58105	-209.63930	-376.31860	1495.51501	-101.88284	185.62094	1329.65906	220.81914	52.79683	1367.17175	233.13228	41.69321	1433.88892	133.71153	184.20137	1502.72388	-60.58891	87.00121	1471.62085	20.66231	198.19725	1460.91589	-14.20100	-609.13849	532.30267	86.69277	-498.49503	671.36688	24.41549	-762.17493	134.92029	134.76819	-667.62878	291.78830	66.07684	-724.32385	58.87478	-10.47972	-801.39612	74.53938	34.81668	-16.05525	499.69092	81.66178	-79.78331	602.30872	7.35651	14.54703	84.57738	169.45749	-29.29479	291.17880	49.44243	66.14279	44.88412	8.12795	115.79803	35.47450	92.01959
632	-451.71426	1003.35107	170.26158	-97.28297	980.25159	157.64767	-267.54156	945.13110	-2.47980	-168.80298	990.84344	282.98181	-257.72964	1460.69495	219.33861	-149.14288	1342.47058	259.38730	-357.15619	1351.85498	234.95795	-68.35619	1588.83057	-115.55473	-91.50174	1651.61926	57.56659	-279.59930	1670.94238	-35.36314	-512.43665	1262.34302	-105.04901	-484.26883	1295.10315	41.21113	-465.63528	1421.60547	25.72977	-338.09891	1541.31604	-214.72308	-371.02835	1469.50037	-206.34537	-374.58017	1505.14478	-96.82597	206.36424	1351.86475	202.43483	70.14822	1377.56177	221.40305	51.35634	1445.11157	127.21021	214.28101	1527.62390	-78.51813	115.28788	1489.18457	-2.10594	226.95110	1484.78625	-31.52146	-606.13086	534.52142	93.76440	-497.68027	675.12738	31.29506	-752.37793	133.84592	141.21457	-662.51611	293.64709	71.44896	-724.38605	59.54474	-5.94056	-796.02576	75.19778	42.87777	-14.84050	500.29437	83.12287	-79.66993	602.94879	9.67623	15.05503	84.41881	169.47453	-29.14668	291.59955	50.85639	65.73430	44.78248	8.03060	115.62320	35.58312	91.82980
633	-447.15753	1004.90619	180.07918	-93.52444	980.72882	158.03914	-268.89954	946.48914	2.20244	-161.94514	992.13281	285.19257	-248.88348	1461.96667	223.18585	-138.73160	1343.75256	259.15097	-349.21283	1354.40173	239.91187	-67.00591	1587.67273	-117.82787	-84.82558	1651.50354	55.62231	-276.14740	1671.60742	-31.80299	-512.32654	1273.06897	-102.88572	-481.04749	1302.19324	43.41708	-460.36783	1428.24243	30.33943	-338.36520	1553.51709	-209.44052	-371.92673	1481.82349	-201.97404	-371.94693	1514.26709	-91.32854	223.68498	1373.75488	182.11458	86.07708	1389.16931	210.11980	55.16027	1453.73730	117.79309	247.81058	1551.26733	-96.90639	141.32454	1507.31287	-30.53755	255.74791	1508.56421	-49.23398	-603.09167	536.06287	99.68364	-497.70102	678.75494	38.19548	-742.11090	132.48880	149.31647	-657.28052	294.59698	78.15536	-716.85236	65.32661	-0.73113	-788.60736	75.53834	52.18951	-14.15464	500.57065	85.47926	-79.38305	603.32666	12.52068	15.31668	84.19494	169.75629	-29.02022	292.03622	52.19040	65.52357	44.76780	7.91991	115.55723	35.64857	91.62358
634	-443.68054	1006.28937	188.90755	-90.54411	980.97516	158.81946	-270.03922	947.75659	6.57633	-156.01471	992.62366	287.87045	-240.33551	1462.87817	226.54414	-128.56133	1344.94641	259.23367	-341.26196	1356.56250	245.60768	-66.52711	1586.27209	-119.39822	-78.51058	1651.04639	54.28524	-272.10641	1671.99097	-27.93568	-511.01465	1283.03394	-100.87990	-478.07333	1308.61243	45.66863	-453.95187	1434.18542	34.36118	-337.81885	1565.27454	-203.22719	-369.57007	1493.15967	-198.37286	-369.62024	1522.84607	-86.01396	237.50018	1394.89868	160.53000	100.28088	1401.17761	197.68402	58.84871	1460.09412	104.50002	280.48703	1573.85254	-115.41386	169.91583	1526.63416	-59.75009	285.32086	1530.76074	-67.54732	-597.46387	536.43823	107.13130	-497.01794	682.63135	43.71384	-730.03204	131.34283	159.81288	-651.92151	295.10641	86.28068	-710.86438	68.23371	6.88241	-779.86151	74.54503	63.19757	-13.11236	500.74661	88.09594	-78.26067	603.93762	15.30309	15.50273	83.89646	169.92003	-29.04654	292.59827	54.09254	65.44038	44.74442	7.72768	115.44936	35.71819	91.51097
635	-439.69345	1007.58899	197.40053	-87.76427	981.00250	160.44043	-270.67258	949.00562	11.32049	-150.14824	992.90387	290.82431	-232.29663	1463.98340	230.55728	-118.71026	1345.80786	259.06348	-334.03174	1358.30945	250.87457	-65.54027	1584.66553	-120.39604	-72.81555	1650.96240	52.87057	-268.79752	1672.12183	-23.59875	-509.30286	1292.25391	-98.47601	-474.46857	1314.42517	47.91439	-446.75455	1439.23328	37.30281	-336.98993	1575.69092	-196.22191	-370.27118	1504.48669	-191.81183	-366.15756	1530.58533	-79.60439	248.47618	1415.59595	137.84949	112.41006	1412.70703	184.79976	60.97455	1469.53528	95.30341	315.50656	1595.29089	-133.14671	199.63585	1546.05969	-90.16986	315.85355	1551.50354	-85.67059	-593.12592	537.42761	112.38825	-497.30231	685.88129	49.11186	-717.71295	130.07198	171.05035	-645.61639	295.14941	94.82202	-699.81122	72.67631	15.67685	-769.98846	73.63888	76.20293	-12.18197	500.93198	90.84818	-76.89114	604.24054	18.51117	15.74891	83.63062	170.02736	-28.44932	293.00101	55.24232	65.25410	44.74727	7.73304	115.46938	35.70906	91.44862
636	-436.75305	1008.71655	204.64114	-85.11865	980.75995	162.21449	-271.08514	949.97803	16.08191	-144.96452	992.84540	293.63968	-224.62546	1464.48511	234.22581	-109.63816	1346.63635	259.67154	-327.34796	1359.55054	256.35468	-64.83724	1583.01440	-120.46416	-66.97739	1650.47937	52.48883	-265.31860	1672.25793	-19.50648	-507.34335	1300.60852	-95.14886	-470.87607	1319.54980	50.94056	-443.52332	1444.93030	44.41472	-334.47614	1585.31860	-188.73517	-368.49118	1513.97510	-185.40979	-363.29785	1537.24475	-72.82513	256.84152	1436.16870	113.45844	121.92509	1424.65540	171.83575	64.34749	1480.97217	89.79099	351.03760	1612.77075	-150.31389	230.90311	1564.71716	-120.44574	345.36383	1570.10083	-102.81192	-588.66217	537.73138	117.27667	-497.92035	689.23346	54.47373	-703.37506	128.66801	184.46582	-638.19366	294.66104	103.70461	-690.81470	73.73708	28.16346	-757.28369	72.77271	90.08721	-11.33464	501.15961	93.66324	-74.74099	604.63550	21.44104	16.00622	83.50563	170.13550	-27.99367	293.56720	57.09314	65.12785	44.66730	7.68751	115.43552	35.67499	91.31507
